Timestamp,Winner,Player_X,Player_O,Mode,Moves_Played
2023-11-22 14:57:22,X,Bot,Human,single,5
2023-11-22 14:57:45,X,Bot,Human,single,5
2023-11-22 14:58:03,X,Bot,Human,single,7
2023-11-22 14:58:21,X,Bot,Human,single,5
2023-11-22 14:58:39,X,Human,Human,two,5
2023-11-22 14:59:55,O,Human,Human,two,6
2023-11-22 15:10:46,X,Bot,Human,single,7
2023-11-22 15:11:04,O,Human,Human,two,6
2023-11-22 15:13:03,X,Bot,Human,single,7
2023-11-22 15:13:22,O,Human,Bot,single,8
2023-11-22 15:13:55,X,Bot,Human,single,7
2023-11-22 15:14:26,X,Bot,Human,single,9
2023-11-22 15:15:13,O,Human,Bot,single,6
2023-11-22 15:15:23,X,Bot,Human,single,5
2023-11-22 15:17:10,X,Bot,Human,single,9
